topology,n_nodes,n_samples,discrepancy_error_max_mean,discrepancy_error_max_std,discrepancy_error_mean_mean,discrepancy_error_mean_std,discrepancy_error_median_mean,discrepancy_error_median_std,discrepancy_error_90th_mean,discrepancy_error_90th_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,perfect_recovery_rate,n_trials_successful,n_trials_total,n_latent_mean,n_latent_std,n_observed_mean,n_observed_std
chain,10,10000,37.726281039566274,23.63596547902897,2.5778220031538654,0.8528918070267434,0.8985938025851576,0.12782273389900245,5.9963566822291074,2.3021999003078935,0.16223727422003287,0.05852076124123401,0.13497954372096246,0.05189767035608391,0.2111111111111111,0.07777777777777778,0.0,10,10,1.0,0.0,9.0,0.0
chain,10,100000,29.046001635491553,22.727115331103107,2.315654693247769,0.9052771225854636,0.8127825541699115,0.2258286317168992,5.2290805426187905,1.6702712624241969,0.20115455259383297,0.09704919442423372,0.17305028305028305,0.09041771120548354,0.24444444444444446,0.10886621079036347,0.0,10,10,1.0,0.0,9.0,0.0
chain,10,1000000,21.70013467846943,4.986263840114955,2.0676569787805557,0.37105274625451246,0.45031807963884296,0.2174877454740077,5.291281785587494,1.0677711226935391,0.4979197994987469,0.1923115036545213,0.46909090909090906,0.20439573021256996,0.5333333333333333,0.1777777777777778,0.0,10,10,1.0,0.0,9.0,0.0
chain,10,10000000,22.000308364340807,4.773251661253802,2.0263662260282524,0.33415158702114545,0.21881949238376547,0.11539905060446388,5.610397841951118,0.8151350892429748,0.7008771929824561,0.20147047572068924,0.6821212121212121,0.21419146070417444,0.7222222222222222,0.1875771446237126,0.2,10,10,1.0,0.0,9.0,0.0
chain,10,20000000,22.000308364340807,4.773251661253802,2.0132967892725335,0.3232750520173005,0.19133027812473918,0.07264000839599191,5.600782436047142,0.799299729198524,0.791812865497076,0.1511489460718648,0.7744444444444445,0.16178403528801621,0.8111111111111111,0.14098419489388356,0.3,10,10,1.0,0.0,9.0,0.0
chain,20,100,2423.7966017680037,5017.115990650419,17.346568770671947,16.187231248849663,2.383002794581963,0.322268383177803,23.816373567964565,5.2791953106190626,0.07592953954842391,0.04188723276987069,0.048935144599438624,0.028123486977265643,0.1736842105263158,0.08170618261189486,0.0,10,10,1.0,0.0,19.0,0.0
chain,20,1000,4052.4378282948937,5720.262163402503,25.774164362241216,15.866774924176248,2.870366558393355,0.665762789863804,31.854107905995583,10.011605317383315,0.04756075805783943,0.02399628064372922,0.029059178113055906,0.01461085138849012,0.13157894736842105,0.06760648725613226,0.0,10,10,1.0,0.0,19.0,0.0
chain,20,10000,1952.5777063799574,2211.0141774724843,21.66107410446401,11.857841783879914,2.7519289018606856,0.5247605448525585,35.5218257450739,12.86440499553141,0.04328778500079644,0.026278318827270667,0.026276939715499808,0.016617705572261943,0.12631578947368421,0.06740130776245103,0.0,10,10,1.0,0.0,19.0,0.0
chain,20,100000,1319.7550959058367,1669.0921218733233,18.337281526953685,9.911007597400395,2.4488195787337963,0.31012267037098346,37.132450522565684,14.693959535938703,0.10868460170849825,0.046983453084984264,0.07556925718613247,0.03782183942294234,0.21052631578947367,0.07806524723258593,0.0,10,10,1.0,0.0,19.0,0.0
chain,20,1000000,731.8327626039601,864.3031433778348,16.467877835636568,7.579741753583835,2.427740922937992,0.24624686115427039,37.90589569274913,14.47505329512631,0.2636261136536371,0.05571938876086259,0.21329622132253706,0.052387061791828705,0.35789473684210527,0.08421052631578947,0.0,10,10,1.0,0.0,19.0,0.0
chain,20,10000000,338.6223172551702,287.72117688317763,14.71439852108756,6.125341100547982,2.5240512256791883,0.25114614508750704,36.77006888592252,13.128847386936675,0.5858908881710924,0.21597760828070012,0.5456099751312518,0.23493885599806272,0.6473684210526316,0.17463852655828482,0.1,10,10,1.0,0.0,19.0,0.0
chain,20,20000000,321.26863146204505,194.32348257283974,14.649068028348088,5.7811207670974865,2.528060366023658,0.23851343309481465,36.363826903864876,12.678601445631715,0.6542867486887421,0.1751144469290066,0.6216666666666666,0.189630413904392,0.6947368421052632,0.15577524828367098,0.1,10,10,1.0,0.0,19.0,0.0
chain,30,100,4523.561247277595,4523.919706730489,47.3907784068502,26.91460512201694,2.5516789971798084,0.3451466333197899,66.92339620744846,26.138742111908833,0.06073692761325524,0.021624443866557076,0.03668838433687052,0.013380429128964954,0.1793103448275862,0.05932638115201812,0.0,10,10,1.0,0.0,29.0,0.0
chain,30,1000,11009.233919675742,20818.171827537743,59.41521143221546,33.678105319126125,3.4062966124029983,0.5416456880266393,84.7776304470662,38.737550587542046,0.026085488749423673,0.015205123635298842,0.015060426775477823,0.008937024884799409,0.1,0.05441287530365345,0.0,10,10,1.0,0.0,29.0,0.0
chain,30,10000,21829.065075424183,36533.627522017036,85.56400876149351,58.01559733395813,3.687246337580921,0.8618786873357251,103.25207100368395,41.6982147942586,0.02530690527200303,0.01725107511465566,0.014412485539035897,0.009931135802868724,0.10689655172413795,0.07306765551867962,0.0,10,10,1.0,0.0,29.0,0.0
chain,30,100000,11697.243063993312,10708.100959149808,78.87528743807255,45.146280931226464,3.0758262985216067,0.6197653962489408,122.60985548834432,67.79573237459266,0.046177813267598726,0.016528068586428583,0.027232282970218447,0.010434437231885812,0.16206896551724137,0.053531636883655254,0.0,10,10,1.0,0.0,29.0,0.0
chain,30,1000000,34116.97502031588,52933.71242946948,149.4653685723637,124.64475990879312,2.8237923157278337,0.5915547167569652,155.35715806704735,78.23110777600598,0.11360722891263413,0.04995749901723087,0.0754357068456355,0.04173162803074773,0.26896551724137935,0.07363502242780215,0.0,10,10,1.0,0.0,29.0,0.0
chain,30,10000000,11220.253536459613,8184.666757129506,92.94622133156128,54.87817692137267,2.4334128957873604,0.348798666793233,158.78222182229635,93.4760947598016,0.37645251654639694,0.18736729970765742,0.30008579618801956,0.18175714507920615,0.5448275862068965,0.18036823214651063,0.0,10,10,1.0,0.0,29.0,0.0
chain,30,20000000,46636.5329587085,68515.41584561723,154.09995893634454,170.22591819468335,2.429888100630758,0.3367907896021741,159.17181673830947,97.70035082012859,0.47178734010665,0.1361404886829168,0.38476257159922417,0.14174686418383692,0.6413793103448275,0.13193880323937235,0.0,10,10,1.0,0.0,29.0,0.0
